для СКУПЩИКОВ есть раздел КУПЛЮ,25 дек 2017 23:23,Diesel Forum
"Продаю ноутбуки Asus x555, HP Probook 450 G !!!",06 ноя 2020 12:06,Diesel Forum
оперативную память для ноутбука ddr1 1gb 333mhz 750сом,26 сен 2020 09:11,Diesel Forum
"Куплю ноутбук Lenovo B590 (желательно процессор DC1005), Lenovo E49",29 авг 2019 16:19,Diesel Forum
Nero.kg Ноутбуки и компьютеры,03 ноя 2020 23:51,Diesel Forum
"Срочно MacBook 11"" Идеал.сост.модель2014г.","Сегодня, 12:43",Diesel Forum
"Игровой Ноутбук Acer Aspire 7 - i7 7700HQ, GTX 1050Ti 4GB, 8GB DDR4, 256GB SSD M.2, 1TB HDD",19 апр 2020 23:55,Diesel Forum
Продаю оперативку DDR3 16GB PC3-12800 1600 MHZ 1.5v,08 июл 2020 17:35,Diesel Forum
продам не дорого ноутбук Sony - настольный ПК,23 сен 2020 14:42,Diesel Forum
Ищу корпус,25 авг 2020 14:26,Diesel Forum
Поменяю на playstation планшетный ноутбук ASUS VivoTab RT,22 сен 2020 12:10,Diesel Forum
Память для ноутбука\нетбука,29 окт 2019 12:32,Diesel Forum
"Продаю процессор CPU для Ноутбука T9500 Intel Core 2 Duo 2,53GHz",13 май 2019 11:16,Diesel Forum
"Блок питания оригинальный Lenovo ADL45WCD, Напряжение 20.0V, Мощность 45W, Сила тока 2.25A, Разъем бп 4.0x1.7 оригинальный",21 окт 2020 13:18,Diesel Forum
Продаю Оперативная память SoDIMM DDR3 8Gb (2x4Gb) PC3-12800 (1600MHz) Samsung,27 апр 2020 14:30,Diesel Forum
Оперативная память SODIMM DDR4 8Gb (2x4Gb) 2400 Mhz,31 янв 2019 14:01,Diesel Forum
"Type-C адаптер для нотубуков - 2xUSB, HDMI, Power Delivery - 30$",22 фев 2020 12:14,Diesel Forum
Скупка рабочих и не рабочих ноутбуков в центре города! т.0999203300 (мегаком),20 июн 2020 12:14,Diesel Forum
продаю срочно ноутбук 4K EVGA SC17 GTX 1070 8gb 75000,26 июл 2019 21:01,Diesel Forum
Продаю McBook 13'' ( late 2008),14 окт 2020 14:04,Diesel Forum
"Продаю матрицы для ноутбука/нетбука разные размеры. оригиналы, б/у но рабочие недорого",06 июн 2018 17:20,Diesel Forum
"Продаю внешние и внутренние жесткие диски для ноутбука, б/у1",06 июн 2018 17:27,Diesel Forum
Продам аккумулятор б\у для ноутбука Acer AL14A32,05 ноя 2020 14:17,Diesel Forum
Куплю клавиатуру Thinkpad,10 ноя 2020 08:33,Diesel Forum
Продаю ноутбук HP,29 сен 2020 11:23,Diesel Forum
"Блок питания для ноутбуков Acer Chicony A13-040n3a 19В 2,1А 40ватт оригинальный",21 окт 2020 13:28,Diesel Forum
"Dell Precision 3520, i5-7300HQ/16Gb/15.6 FHD IPS/Quadro m620/256 ssd",29 окт 2020 15:23,Diesel Forum
"Продаю ноутбуки и компьютеры, гарантия, доставка. Большой выбор. В кредит.",16 сен 2018 02:08,Diesel Forum
скупка ноутбуков хорошая оценка,22 сен 2020 12:38,Diesel Forum
Ноутбук Aser aspire матрицы клавиатура жёсткие диски память для ноутбуков. Инвертор матрицы,02 фев 2017 01:49,Diesel Forum
"Матрицы (экран), клавиатуры, системы охлаждения, зарядные устройства, аккумуляторы, разъемы питания для ноутбуков",07 сен 2020 16:29,Diesel Forum
Продаю запчасти для ноутбука,16 июн 2020 15:49,Diesel Forum
Распродажа Ноутбуков. Гарантия  3 месяца.,28 фев 2017 16:15,Diesel Forum
"Ноутбуки, комплектующие, переферия. т 64 28 13, 0555 64 28 13",16 янв 2017 13:15,Diesel Forum
Различные адаптеры для ноутбуков и ПК | Термопаста GD900 | Ремкомплекты для Apple MagSafe,23 мар 2020 22:43,Diesel Forum
"Продаю ноутбуки на запчасти, есть разные варианты, тема пополняется!",06 июн 2018 17:13,Diesel Forum
"Запчасти к ноутбукам б/у (в отличном состоянии) Обновляется!. Тел: (312) 88-45-73, (559) 190-186, E-Mail: techno@aknet.kg",12 дек 2014 17:18,Diesel Forum
Ноутбуки б.у с гарантией от магазина Asus HP Dell Macbook Lenovo Acer,11 ноя 2020 13:31,Diesel Forum
"SERVICE запчасти для Ноутбуков.. Аккумуляторы (Батарейки), Блоки Питания, Клавиатуры, Матрицы!",11 ноя 2016 12:10,Diesel Forum
